clause_id,contract_type,clause_text,tokenized_text,L1_UNFAIR_PENALTY,L2_UNILATERAL_MODIFICATION,L3_AMBIGUOUS_LIABILITY,L4_MISSING_JURISDICTION,L5_PERSONAL_DATA_VIOLATION,L6_EXCESSIVE_TERMINATION,L7_HIDDEN_FEE,L8_FORCE_MAJEURE_GAP,confidence_score,annotator
HDLD_PEN_01,LABOR,Trong trường hợp Người lao động nghỉ việc trước thời hạn hợp đồng thì phải bồi thường 200% chi phí đào tạo và chịu phạt 20% tổng thu nhập đã nhận trong suốt thời gian làm việc.,Trong trường_hợp Người lao_động nghỉ việc trước thời_hạn hợp_đồng thì phải bồi_thường 200% chi_phí đào_tạo và chịu phạt 20% tổng thu_nhập đã nhận trong suốt thời_gian làm_việc .,1,0,0,0,0,0,0,0,0.9,RULE_ENGINE
HDMB_PEN_02,SALES,Nếu Bên Mua chậm thanh toán dù chỉ 01 ngày thì Bên Mua phải chịu phạt vi phạm bằng 50% tổng giá trị hợp đồng và bồi thường thêm 100% giá trị lô hàng.,Nếu Bên Mua chậm thanh_toán dù chỉ 01 ngày thì Bên Mua phải chịu phạt vi_phạm bằng 50% tổng giá_trị hợp_đồng và bồi_thường thêm 100% giá_trị lô hàng .,1,0,0,0,0,0,0,0,0.9,OPENROUTER_LLM
HDTH_PEN_03,LEASE,Bên Thuê chậm trả tiền nhà từ 03 ngày trở lên sẽ bị tịch thu toàn bộ 100% tiền đặt cọc và chịu phạt thêm 03 tháng tiền thuê nhà mà Bên Cho Thuê không cần chứng minh thiệt hại.,Bên Thuê chậm trả tiền nhà từ 03 ngày trở lên sẽ bị tịch_thu toàn_bộ 100% tiền đặt cọc và chịu phạt thêm 03 tháng tiền thuê nhà mà Bên Cho_Thuê không cần chứng_minh thiệt_hại .,1,0,0,0,0,0,0,0,0.9,OPENROUTER_LLM
HDDV_PEN_04,SERVICE,Nếu Bên B vi phạm bất kỳ điều khoản nào trong hợp đồng này thì Bên A có quyền khấu trừ 100% phí dịch vụ chưa thanh toán và phạt Bên B số tiền bằng 30% giá trị hợp đồng.,Nếu Bên B vi_phạm bất_kỳ điều_khoản nào trong hợp_đồng này thì Bên A có quyền khấu_trừ 100% phí dịch_vụ chưa thanh_toán và phạt Bên B số tiền bằng 30% giá_trị hợp_đồng .,1,0,0,0,0,0,0,0,0.9,OPENROUTER_LLM
HDLD_PEN_05,LABOR,Người lao động vi phạm quy định bảo mật thông tin sẽ bị tịch thu toàn bộ tiền lương của tháng đó và bồi thường cố định 500.000.000 VNĐ.,Người lao_động vi_phạm quy_định bảo_mật thông_tin sẽ bị tịch_thu toàn_bộ tiền_lương của tháng đó và bồi_thường cố_định 500.000.000 VNĐ .,1,0,0,0,0,0,0,0,0.9,OPENROUTER_LLM
HDTH_UNI_01,LEASE,Bên Cho Thuê có quyền toàn quyền điều chỉnh tăng giá thuê nhà bất kỳ lúc nào mà không cần thỏa thuận hoặc báo trước cho Bên Thuê.,Bên Cho_Thuê có quyền toàn quyền điều_chỉnh tăng giá thuê nhà bất_kỳ lúc nào mà không cần thỏa_thuận hoặc báo trước cho Bên Thuê .,0,1,0,0,0,0,0,0,0.9,OPENROUTER_LLM
HDDV_UNI_02,SERVICE,Bên A có quyền thay đổi phạm vi công việc và tiến độ giao hàng mà không cần sự đồng ý bằng văn bản của Bên B.,Bên A có quyền thay_đổi phạm_vi công_việc và tiến_độ giao hàng mà không cần sự đồng_ý bằng văn_bản của Bên B .,0,1,0,0,0,0,0,0,0.9,OPENROUTER_LLM
HDDV_AMB_01,SERVICE,Mọi thiệt hại phát sinh liên quan trực tiếp hoặc gián tiếp đến hợp đồng này sẽ do Bên B chịu trách nhiệm trong mọi trường hợp mà không phụ thuộc vào yếu tố lỗi.,Mọi thiệt_hại phát_sinh liên_quan trực_tiếp hoặc gián_tiếp đến hợp_đồng này sẽ do Bên B chịu trách_nhiệm trong mọi trường_hợp mà không phụ_thuộc vào yếu_tố lỗi .,0,0,1,0,0,0,0,0,0.9,RULE_ENGINE
HDMB_JUR_01,SALES,Hai bên cam kết thực hiện đúng các điều khoản trong hợp đồng trên tinh thần hợp tác vui vẻ.,Hai bên cam_kết thực_hiện đúng các điều_khoản trong hợp_đồng trên tinh_thần hợp_tác vui_vẻ .,0,0,1,0,0,0,0,0,0.75,OPENROUTER_LLM
HDDV_DAT_01,SERVICE,"Bên A toàn quyền thu thập, lưu trữ, khai thác và chia sẻ toàn bộ dữ liệu cá nhân, thông tin sinh trắc học và lịch sử giao dịch của Bên B cho bất kỳ đối tác thứ ba nào mà không cần xin phép.","Bên A toàn quyền thu_thập , lưu_trữ , khai_thác và chia_sẻ toàn_bộ dữ_liệu cá_nhân , thông_tin sinh_trắc_học và lịch_sử giao_dịch của Bên B cho bất_kỳ đối_tác thứ ba nào mà không cần xin phép .",0,0,0,0,1,0,0,0,0.9,RULE_ENGINE
